"","Num1","Palo1","Num2","Palo2","Pasar","Ver","Subir"
"428",11,1,3,2,0,0,0
"429",11,1,4,2,0,0,0
"430",11,1,5,2,0,0,0
"431",11,1,6,2,0,0,0
"432",11,1,7,2,0,0,0
"433",11,1,8,2,0,0,0
"434",11,1,9,2,0,0,0
"435",11,1,10,2,0,0,0
"436",11,1,11,2,0,0,0
"437",11,1,12,2,0,0,0
"438",11,1,13,2,0,0,0
"439",11,1,14,2,0,0,0
"440",11,1,2,3,0,0,0
"441",11,1,3,3,0,0,0
"442",11,1,4,3,0,0,0
"443",11,1,5,3,0,0,0
"444",11,1,6,3,0,0,0
"445",11,1,7,3,0,0,0
"446",11,1,8,3,0,0,0
"447",11,1,9,3,0,0,0
"448",11,1,10,3,0,0,0
"449",11,1,11,3,0,0,0
"450",11,1,12,3,0,0,0
"451",11,1,13,3,0,0,0
"452",11,1,14,3,0,0,0
"453",11,1,2,4,0,0,0
"454",11,1,3,4,0,0,0
"455",11,1,4,4,0,0,0
"456",11,1,5,4,0,0,0
"457",11,1,6,4,0,0,0
"458",11,1,7,4,0,0,0
"459",11,1,8,4,0,0,0
"460",11,1,9,4,0,0,0
"461",11,1,10,4,0,0,0
"462",11,1,11,4,0,0,0
"463",11,1,12,4,0,0,0
"464",11,1,13,4,0,0,0
"465",11,1,14,4,0,0,0
"466",12,1,13,1,0,0,0
"467",12,1,14,1,0,0,0
"468",12,1,2,2,0,0,0
"469",12,1,3,2,0,0,0
"470",12,1,4,2,0,0,0
"471",12,1,5,2,0,0,0
"472",12,1,6,2,0,0,0
"473",12,1,7,2,0,0,0
"474",12,1,8,2,0,0,0
"475",12,1,9,2,0,0,0
"476",12,1,10,2,0,0,0
"477",12,1,11,2,0,0,0
"478",12,1,12,2,0,0,0
"479",12,1,13,2,0,0,0
"480",12,1,14,2,0,0,0
"481",12,1,2,3,0,0,0
"482",12,1,3,3,0,0,0
"483",12,1,4,3,0,0,0
"484",12,1,5,3,0,0,0
"485",12,1,6,3,0,0,0
"486",12,1,7,3,0,0,0
"487",12,1,8,3,0,0,0
"488",12,1,9,3,0,0,0
"489",12,1,10,3,0,0,0
"490",12,1,11,3,0,0,0
"491",12,1,12,3,0,0,0
"492",12,1,13,3,0,0,0
"493",12,1,14,3,0,0,0
"494",12,1,2,4,0,0,0
"495",12,1,3,4,0,0,0
"496",12,1,4,4,0,0,0
"497",12,1,5,4,0,0,0
"498",12,1,6,4,0,0,0
"499",12,1,7,4,0,0,0
"500",12,1,8,4,0,0,0
"501",12,1,9,4,0,0,0
"502",12,1,10,4,0,0,0
"503",12,1,11,4,0,0,0
"504",12,1,12,4,0,0,0
"505",12,1,13,4,0,0,0
"506",12,1,14,4,0,0,0
"507",13,1,14,1,0,0.85,0.15
"508",13,1,2,2,0,0.85,0.15
"509",13,1,3,2,0,0,0
"510",13,1,4,2,0,0,0
"511",13,1,5,2,0,0.85,0.15
"512",13,1,6,2,0,0.85,0.15
"513",13,1,7,2,0,0,0
"514",13,1,8,2,0,0,0
"515",13,1,9,2,0.0375,0.825,0.1375
"516",13,1,10,2,0,0,0
"517",13,1,11,2,0,0,0
"518",13,1,12,2,0,0.85,0.15
"519",13,1,13,2,0.0375,0.825,0.1375
"520",13,1,14,2,0,0,0
"521",13,1,2,3,0,0,0
"522",13,1,3,3,0.0375,0.825,0.1375
"523",13,1,4,3,0,0.85,0.15
"524",13,1,5,3,0,0.85,0.15
"525",13,1,6,3,0,0.85,0.15
"526",13,1,7,3,0,0.85,0.15
"527",13,1,8,3,0,0.85,0.15
"528",13,1,9,3,0.0375,0.825,0.1375
"529",13,1,10,3,0,0.85,0.15
"530",13,1,11,3,0.0375,0.825,0.1375
"531",13,1,12,3,0,0.85,0.15
"532",13,1,13,3,0.0375,0.825,0.1375
"533",13,1,14,3,0,0.85,0.15
"534",13,1,2,4,0,0.85,0.15
"535",13,1,3,4,0,0,0
"536",13,1,4,4,0,0,0
"537",13,1,5,4,0,0.85,0.15
"538",13,1,6,4,0,0.85,0.15
"539",13,1,7,4,0,0.85,0.15
